time_iso8601,clones_total,clones_unique,views_total,views_unique
2025-10-26 00:00:00+00:00,1,1,2.0,2.0
2025-10-27 00:00:00+00:00,13,3,,
2025-10-28 00:00:00+00:00,22,7,,
2025-10-29 00:00:00+00:00,8,3,,
2025-10-30 00:00:00+00:00,9,3,,
2025-10-31 00:00:00+00:00,1,1,,
2025-11-01 00:00:00+00:00,7,2,,
2025-11-02 00:00:00+00:00,7,2,,
2025-11-03 00:00:00+00:00,12,3,,
2025-11-04 00:00:00+00:00,6,3,,
2025-11-05 00:00:00+00:00,1,1,,
2025-11-06 00:00:00+00:00,6,6,,
2025-11-07 00:00:00+00:00,10,5,,
2025-11-08 00:00:00+00:00,14,3,1.0,1.0
