time_iso8601,clones_total,clones_unique,views_total,views_unique
2023-05-14 00:00:00+00:00,0,0,5,1
2023-05-15 00:00:00+00:00,0,0,1,1
2023-05-16 00:00:00+00:00,0,0,3,2
2023-05-18 00:00:00+00:00,0,0,1,1
2023-05-19 00:00:00+00:00,0,0,5,1
2023-05-22 00:00:00+00:00,0,0,1,1
2023-05-23 00:00:00+00:00,0,0,1,1
2023-05-24 00:00:00+00:00,0,0,7,3
2023-05-25 00:00:00+00:00,0,0,1,1
2023-05-26 00:00:00+00:00,0,0,1,1
2023-05-28 00:00:00+00:00,11,5,36,1
2023-05-29 00:00:00+00:00,5,4,5,1
2023-05-30 00:00:00+00:00,3,2,0,0
2023-05-31 00:00:00+00:00,4,3,0,0
2023-06-01 00:00:00+00:00,3,2,0,0
2023-06-02 00:00:00+00:00,0,0,3,1
